	Root558	Root1252	Root16D2	Soil810	Root76	Root482	Root219	Root137	Root151	Root322	Root63	Root604	Root239	Root411	Root720	Root344	Root60	Root101	Root627	Soil805	Root179	Root224	Root444D2	Root122	Root682	Root695	Root487D2Y	Root79	Root180	Root154	Root68	Root413D1	Root335	Root491	Root267	Root107	Root630	Root274	Root131	Root1277	Soil756	Soil729	Root332	Root318D1	Soil772	Soil809	Soil748	Soil803	Root53	Soil535	Root189	Soil522	Root61	Soil782	Soil736	Soil728	Root342	Soil763	Root456	Root670	Root227	Root190	Soil761	Root343	Soil762	Soil797	Soil538	Root265	Root483D1	Root4	Root264	Soil750	Root112D2	Root1280	Root472D3	Root198D2	Root1220	Root22	Root136	Root268	Root700	Soil766	Root172	Root381	Root554	Root708	Root186	Soil768D1	Root81	Root1212	Soil745	Root420	Root401	Root690	Root569	Root565	Root562	Root170	Root920	Root329	Root157	Root369	Root635	Root123D2	Root901	Root9	Root336D2	Root564	Root685	Root83	Root436	Root1310	Root918	Soil773	Root241	Root1304	Root935	Root100	Root710	Root135	Soil787	Soil764	Root70	Root656	Root552	Root431	Root418	Root149	Root1217	Root1203
Matrix-full-B1B	19	70	1	67	27	86	147	97	15	23	44	18	17	214	10	177	0	12	6	8	5	11	18	2	103	117	4	52	14	9	372	2	0	66	15	6	50	9	16	9	177	9	5	3	651	33	13	23	0	2	5	0	5	7	87	9	7	1669	1	8	42	0	2554	0	42	1	12	1	0	13	0	0	10	0	0	0	0	27	0	0	3	5	2787	2	2	8	0	0	20	7	0	0	34	68	81	1639	289	210	91	22005	0	0	0	22	0	320	0	3	1	204	0	0	5	6	1	3	0	0	0	14	0	13406	17	0	1	0	0	8	0	14
Matrix-full-B1C	11	19	0	35	5	41	75	30	5	11	8	7	15	98	4	73	1	16	2	14	7	6	10	3	71	35	2	21	3	8	145	0	0	16	6	1	17	7	4	1	86	2	1	2	193	10	1	9	0	1	4	0	4	3	313	2	0	273	0	12	14	3	1832	0	48	1	4	0	0	3	0	0	6	2	1	0	0	8	0	0	0	2	1298	1	2	1	0	0	4	3	0	0	11	28	84	1112	109	94	45	8525	0	0	0	2	0	329	0	2	1	79	0	0	3	11	0	1	0	0	1	21	0	6641	1	0	2	0	0	1	0	9
Matrix-full-B2A	24	45	1	76	12	30	115	59	67	13	35	11	16	124	15	227	4	31	8	13	3	15	18	3	347	42	1	39	9	12	150	0	0	37	18	0	23	14	15	2	52	3	3	1	478	30	11	35	1	0	10	0	11	7	77	27	1	906	2	9	49	0	733	0	41	4	6	1	0	15	1	0	14	0	5	0	0	30	2	0	0	0	3663	2	3	4	0	1	21	3	0	0	10	68	34	652	115	83	53	19688	0	0	0	10	0	59	0	0	0	82	0	0	3	22	4	3	0	0	0	13	0	2626	7	0	0	0	0	8	0	4
Matrix-full-B2B	11	32	0	299	10	39	122	78	468	29	25	9	7	197	13	127	7	24	9	14	7	24	19	5	923	42	2	229	6	9	285	0	0	38	7	5	26	8	11	1	113	11	8	3	394	21	33	50	0	4	2	0	10	2	8	22	2	882	3	7	123	23	468	0	74	10	16	3	0	29	0	0	10	0	1	0	0	49	4	0	0	1	2321	0	3	2	0	2	17	4	0	0	10	44	25	362	220	52	60	16347	0	0	0	62	0	6	0	0	0	86	0	0	23	19	5	3	0	0	0	9	0	776	7	0	3	0	0	4	0	5
Matrix-full-B2C	13	24	0	242	27	44	83	59	163	26	12	10	9	175	5	144	1	22	13	10	10	17	11	0	442	104	0	76	12	12	380	0	0	57	6	1	22	7	15	3	200	6	6	9	807	14	38	34	0	0	5	0	3	1	20	8	0	3110	2	9	119	19	1030	0	33	0	3	0	0	15	0	0	14	0	1	0	0	12	0	0	1	1	1697	2	3	0	0	0	15	5	0	0	63	57	43	340	541	75	46	14617	1	1	0	31	0	11	0	1	0	54	0	0	2	11	2	3	0	0	0	23	0	2623	4	0	0	0	0	0	0	4
Matrix-full-B3A	15	47	0	408	28	26	127	62	677	23	16	16	20	261	14	189	1	39	40	11	73	16	7	4	676	108	0	51	8	16	250	0	0	63	16	3	43	9	8	4	173	5	2	12	897	17	20	29	2	4	9	0	6	4	31	17	1	2169	4	8	104	62	907	0	29	5	9	0	2	17	0	0	18	1	2	2	0	21	0	0	0	2	1248	1	1	7	0	1	8	4	0	0	78	170	128	430	469	146	78	11803	0	0	0	27	0	10	0	0	0	70	0	0	9	113	11	2	0	4	0	26	0	2409	1	0	2	0	0	1	0	12
Matrix-full-B3B	10	27	0	135	7	21	48	43	8	6	16	5	8	123	6	81	0	27	8	5	33	3	8	2	168	45	0	14	5	10	94	1	0	22	7	0	10	1	8	4	63	7	0	1	407	22	15	30	0	4	3	0	3	3	103	4	0	443	0	6	53	12	2008	0	25	3	7	0	1	7	0	1	13	0	1	0	0	9	0	0	0	0	2693	0	1	3	0	1	2	1	0	0	16	51	37	637	99	96	30	16460	0	0	0	16	0	50	0	0	0	99	0	0	3	19	7	1	0	0	0	9	0	6039	2	0	0	0	0	2	0	7
Matrix-full-B3C	6	31	0	88	17	32	79	33	107	7	22	11	13	152	3	90	2	15	10	4	19	11	9	3	116	52	1	45	2	11	180	0	0	28	12	0	21	9	6	1	129	3	2	4	421	17	3	6	0	3	2	0	2	2	72	14	0	1195	0	1	53	7	1658	0	18	2	9	0	0	13	0	0	5	3	0	0	0	10	0	0	0	5	1024	0	5	3	0	1	16	4	0	0	52	46	61	305	200	64	38	7537	0	0	0	7	0	66	0	4	0	50	0	0	2	19	7	0	0	0	0	11	0	5028	5	0	0	0	0	1	0	8
Root-3-full-B1A	7	14	0	30	1	10	14	8	4	2	3	11	26	6	3	316	0	10	2956	0	3540	18	1	1	5	115	36	37	1	0	26	0	0	113	4	0	5	0	5	3	93	2	0	1	16562	4	19	19	0	1	5	0	1	1	25	5	0	180	117	24	11044	1	6950	0	15	0	74	4	0	17	1	0	11507	0	0	0	0	4	1	0	0	0	765	0	0	151	0	0	4	0	1	0	1	6	1281	502	17	342	13	247	1	0	0	152	0	83	0	0	0	3	0	0	1	2587	6	5	0	0	1	84	0	2095	2	0	0	0	0	3	0	3
Root-3-full-B1B	28	17	0	20	8	17	489	14	6	8	12	3	141	110	1	386	11	19	3149	1	2740	34	8	0	3	358	15	6	1	2	30	0	0	128	5	0	11	4	7	2	43	4	0	3	10525	0	5	18	0	5	2	0	5	1	31	4	0	307	150	39	6254	0	9592	0	20	1	43	12	1	10	117	0	4693	0	5	0	0	7	4	0	0	0	1052	0	3	382	0	0	19	8	0	0	13	9	270	365	20	34	9	452	0	4	0	674	0	70	0	0	0	18	0	0	3	3673	64	10	0	0	0	33	0	3803	7	0	1	0	0	4	0	16
Root-3-full-B1C	7	0	0	146	3	11	22	1	0	3	3	7	58	5	1	211	1	39	984	0	923	1	2	3	3	91	0	2	0	4	15	0	0	12	11	12	1	4	5	1	181	1	0	3	6656	2	38	17	0	2	0	0	0	1	3	3	0	1331	257	9	20738	2	7007	0	8	0	154	0	1	2	1	0	12747	0	2	0	0	4	3	0	0	0	216	2	0	148	0	0	2	4	0	0	4	2	1157	65	15	52	11	113	0	16	0	162	0	31	0	0	0	10	0	0	2	9033	3	8	0	0	0	28	0	3820	2	0	1	0	0	2	0	1
Root-3-full-B2A	72	26	0	143	18	41	51	18	24	43	23	33	137	25	7	594	4	11	1382	5	1662	58	5	3	7	273	14	28	1	8	32	2	0	97	12	4	15	16	23	10	139	0	1	4	7555	2	22	25	10	2	12	0	26	12	76	10	40	650	141	12	18815	0	18673	0	42	1	309	12	8	14	2	3	7569	0	4	0	0	26	2	0	0	0	500	1	2	299	0	0	26	13	0	0	14	47	127	208	57	10	15	896	0	16	0	74	0	64	0	1	0	20	0	1	15	5228	33	9	0	0	2	77	0	6075	10	0	0	0	0	14	0	8
Root-3-full-B2B	11	9	0	50	2	21	189	4	3	12	5	8	67	186	3	458	8	17	2522	2	4404	7	15	3	19	510	20	39	1	2	28	0	0	263	2	15	13	0	9	0	163	2	0	1	9232	2	5	27	0	1	0	0	7	0	6	2	18	960	675	22	4814	6	9193	0	4	2	129	2	1	1	0	0	8170	0	1	0	0	10	3	0	0	0	3271	4	2	350	0	0	4	2	0	0	22	46	2562	1208	48	378	20	2817	0	118	0	467	0	12	0	2	0	27	0	0	8	7403	23	2	0	0	0	32	0	6723	2	0	3	0	0	0	0	4
Root-3-full-B2C	8	2	0	20	2	3	234	9	3	2	7	1	82	82	2	185	5	8	1296	1	953	1	2	2	32	107	13	17	0	3	15	1	0	147	3	1	1	2	6	1	248	1	1	2	4941	3	29	26	0	0	5	0	25	0	2	2	0	368	47	16	7809	0	3440	0	1	0	38	0	1	1	3	0	3491	1	0	0	0	2	0	0	0	2	609	0	0	719	0	0	4	1	0	0	7	33	2427	3037	16	8	10	1131	0	744	0	147	0	85	0	0	0	3	0	1	4	17561	9	4	0	0	0	15	0	3431	2	0	0	0	0	2	0	12
Root-3-full-B3A	11	6	0	26	4	3	19	9	1	5	7	5	360	6	4	307	2	6	1117	1	1714	3	3	0	2	85	0	5	0	6	21	0	0	27	0	1	5	1	6	0	168	7	0	0	10360	0	57	44	0	0	0	0	0	0	20	0	0	349	154	2	15171	1	6754	0	5	2	94	1	0	0	0	0	7871	0	0	0	0	5	0	0	0	0	471	0	3	263	0	0	2	1	0	0	21	75	1239	1112	27	218	31	1220	0	6	0	181	0	307	0	0	0	15	0	0	0	6139	10	0	0	0	0	15	0	1687	1	0	0	0	0	0	0	4
Root-3-full-B3B	0	3	0	14	3	3	74	23	5	4	0	13	77	121	1	485	3	14	2416	0	1753	16	22	0	3	460	2	7	0	2	24	0	0	331	0	0	9	0	4	1	97	4	1	0	7235	0	6	24	0	0	0	0	0	1	9	3	1	325	252	51	6368	0	4911	0	1	0	94	1	0	0	29	0	5414	2	0	0	0	3	0	0	0	0	989	0	2	548	0	0	0	0	0	0	17	2	927	1641	33	299	9	2192	0	6	0	807	0	505	0	0	0	7	0	0	0	12513	19	7	0	0	2	34	0	6471	0	0	0	0	0	0	0	13
Root-3-full-B3C	3	6	0	86	9	14	16	5	1	9	3	1	38	15	1	548	6	60	2773	1	720	9	9	0	2	129	5	55	0	7	17	0	0	11	3	0	3	7	2	1	183	6	0	0	8063	3	14	10	0	3	0	0	1	0	82	1	0	155	142	8	9386	0	11737	0	15	1	125	17	0	1	0	0	3459	0	0	0	0	3	0	0	0	0	416	0	0	402	0	0	10	0	0	0	3	19	313	393	15	5	11	101	0	9	0	176	0	15	0	0	0	2	0	0	1	2202	22	6	0	0	0	63	0	3338	1	0	0	0	0	1	0	4
Root-full-B1A	13	12	0	96	6	0	3720	3	3	8	4	9	3	275	5	314	21	247	1672	1	1873	36	1222	1	106	1003	6	140	2	11	38	0	0	429	9	1	9	1	3	0	328	0	1	7	13784	6	41	97	0	0	0	0	0	0	141	4	26	3584	21	109	785	1	4659	0	23	0	80	2	2	0	673	0	1196	0	0	0	0	13	2	0	0	0	1992	2	93	639	0	1	0	0	0	0	22	19	83	1126	511	766	17	18698	1	51	0	182	0	100	0	0	0	33	0	0	2	3131	291	0	0	0	0	172	6	10614	2	0	0	0	0	55	0	4
Root-full-B1B	28	18	1	169	16	5	67	11	3	21	10	25	23	339	3	638	5	298	1447	0	7399	20	168	0	125	477	11	195	7	12	41	0	0	150	10	0	12	3	8	3	311	3	0	20	12280	7	28	70	0	2	0	0	2	4	35	7	0	4168	110	80	250	0	2612	0	12	0	124	4	1	4	0	0	490	0	1	0	0	15	0	0	1	1	1438	0	1	822	0	0	1	0	0	0	3461	28	4861	7297	2432	1577	28	10253	0	74	0	145	0	22	0	0	0	42	0	0	4	5272	111	0	0	0	2	104	0	7271	2	0	0	0	0	152	0	0
Root-full-B1C	2	20	0	50	17	5	681	63	5	802	4	5	19	684	3	551	15	53	2454	0	1219	5	280	0	66	257	53	29	2	7	41	0	0	125	5	0	0	1	1	3	99	2	0	0	5150	4	12	44	0	0	0	0	8	0	269	0	240	2936	64	135	703	5	2911	0	18	1	43	1	2	2	137	0	1094	0	0	0	0	10	0	0	0	0	1074	0	13	694	0	0	1	0	0	0	53	2614	3371	2273	134	292	18	7419	0	41	0	134	0	20	0	1	0	18	0	0	4	976	306	0	0	0	0	7	0	5269	2	0	0	0	0	117	0	38
Root-full-B2A	5	12	1	410	9	7	59	7	31	181	9	9	3	411	1	407	11	168	420	0	2812	36	1009	1	232	732	8	126	4	11	82	0	0	83	3	0	4	1	5	1	290	3	0	2	7850	5	76	61	1	1	73	0	1	0	32	5	0	5513	39	53	1061	8	2951	0	4	2	7	3	0	3	1	0	1647	0	0	1	0	3	0	0	0	0	1976	0	1	400	0	0	2	2	1	0	35	39	1007	1349	80	577	14	13910	0	2	0	206	0	8	0	0	1	19	0	1	4	5456	147	2	0	0	0	21	2	3685	2	0	0	0	0	6	0	0
Root-full-B2B	12	13	0	124	13	17	75	9	6	32	4	10	3	177	3	391	2	179	783	0	1704	10	529	2	182	701	2	86	0	7	34	0	0	72	4	0	11	0	11	0	221	6	2	4	11827	2	32	126	0	5	5	0	3	1	47	5	42	1780	15	109	118	2	2456	0	15	2	59	3	0	3	4	2	401	0	4	1	0	8	1	0	1	1	1554	0	21	745	0	0	6	2	0	0	159	26	503	993	216	424	26	22317	0	0	0	215	0	93	0	2	0	17	0	1	5	730	173	5	0	0	1	20	0	5920	1	0	0	0	0	25	0	1
Root-full-B2C	151	161	5	255	54	164	126	55	291	92	46	87	30	314	45	153	26	137	3115	19	6939	36	359	25	1129	153	13	275	51	16	369	3	0	225	70	4	53	34	67	19	143	11	17	26	5444	11	33	84	4	29	28	0	35	16	39	71	319	656	11	46	234	7	926	0	71	9	37	8	5	58	4	3	115	1	15	1	0	423	6	0	1	10	812	5	8	121	0	6	90	29	2	0	3173	48	563	1822	2366	410	56	10652	0	0	2	167	0	104	0	16	0	61	0	1	40	199	110	5	0	1	2	12	2	1058	56	0	4	0	0	171	1	42
Root-full-B3A	1	4	0	134	2	4	15	1	2	26	6	5	17	603	0	168	73	118	905	0	8645	4	25	1	279	142	4	58	1	2	26	0	0	51	5	1	3	1	0	0	121	4	0	4	4789	4	24	77	0	0	1	0	3	0	24	2	4	3852	27	20	540	9	2183	0	6	1	14	2	0	1	37	0	1657	0	1	0	0	11	0	0	0	2	1641	0	14	57	0	2	0	0	0	0	217	24	9604	1795	203	94	5	7716	0	0	0	133	0	18	0	0	0	5	0	0	3	100	87	1	0	0	0	23	0	3304	0	0	0	0	0	16	0	0
Root-full-B3B	2	12	1	434	4	3	902	11	53	11	11	5	6	274	1	314	5	207	3201	3	2241	3	301	0	188	570	17	173	0	6	59	0	0	45	8	0	4	0	7	4	345	7	0	0	11418	3	35	77	0	0	2	0	0	0	85	3	0	2739	10	47	541	14	3453	0	15	1	33	2	2	4	0	0	360	0	0	0	0	7	0	0	0	0	936	0	24	177	0	0	0	0	0	0	69	35	4549	1391	99	209	29	13709	0	65	0	68	0	242	0	0	0	24	0	0	0	361	115	0	0	0	0	42	0	6849	3	0	0	0	0	2	0	0
Root-full-B3C	3	21	0	970	89	7	191	15	155	45	17	44	26	267	4	786	65	174	757	1	2066	6	53	1	988	763	7	243	9	15	174	0	0	123	8	0	24	1	21	1	464	2	0	9	14924	2	60	74	0	3	0	0	2	1	25	12	0	6217	171	40	613	70	2663	0	28	4	77	6	1	1	3	0	2030	0	1	1	0	21	0	0	0	0	1467	0	2	3	0	1	4	1	0	0	33	202	1451	906	111	621	47	23565	0	29	0	102	0	34	0	0	0	22	0	2	7	505	35	0	0	0	0	72	0	5031	3	0	0	0	0	6	0	0
