	Root100	Root101	Root107	Root112D2	Root1203	Root1212	Root1217	Root122	Root1220	Root123D2	Root1252	Root1277	Root1280	Root1304	Root131	Root1310	Root135	Root136	Root137	Root149	Root151	Root154	Root157	Root16D2	Root170	Root172	Root179	Root180	Root186	Root189	Root190	Root198D2	Root219	Root22	Root224	Root227	Root239	Root241	Root264	Root265	Root267	Root268	Root274	Root318D1	Root322	Root329	Root332	Root335	Root336D2	Root342	Root343	Root344	Root369	Root381	Root4	Root401	Root411	Root413D1	Root418	Root420	Root431	Root436	Root444D2	Root456	Root472D3	Root482	Root483D1	Root487D2Y	Root491	Root53	Root552	Root554	Root558	Root562	Root564	Root565	Root569	Root60	Root604	Root61	Root627	Root63	Root630	Root635	Root656	Root670	Root68	Root682	Root685	Root690	Root695	Root70	Root700	Root708	Root710	Root720	Root76	Root79	Root81	Root83	Root9	Root901	Root918	Root920	Root935	Soil522	Soil535	Soil538	Soil728	Soil729	Soil736	Soil745	Soil748	Soil750	Soil756	Soil761	Soil762	Soil763	Soil764	Soil766	Soil768D1	Soil772	Soil773	Soil782	Soil787	Soil797	Soil803	Soil805	Soil809	Soil810
DepExp-Unstr-TSB-CS-2-B	0	0	0	0	0	0	0	0	0	0	12	0	40	2	2168	0	0	0	0	0	0	0	0	0	337	0	0	0	0	0	0	0	87	80	0	4	0	0	0	0	30	0	0	3	24	1132	0	0	0	0	0	0	0	0	1	0	47	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	80	0	0	0	0	3	1	0	0	2	1	0	0	0	0	0	1	7	0	1	0	0	0	0	0	0	2	2	2584	0	10	0	0	0	1	0	0	0	0	0	0	0	0	0	1	4	2	0	0	2	34	0	0	0	0	0	4	0
DepExp-Unstr-TSB-CS-3-A	0	0	1	0	0	0	0	0	0	0	65	0	326	6	10107	0	0	0	0	7	0	0	0	1	2218	1	11	0	0	0	0	0	489	270	0	14	1	0	0	0	192	0	0	18	166	3795	0	0	0	0	0	0	0	0	12	0	360	0	0	0	0	0	0	0	0	0	0	0	601	0	0	0	487	0	12	0	0	37	1	2	0	1	10	0	0	1	0	0	0	52	0	10	0	0	0	1	1	0	1	37	10699	0	42	0	0	0	1	0	0	0	3	0	0	0	0	3	2	21	5	0	0	10	212	0	0	0	0	0	18	0
DepExp-Unstr-TSB-CS-3-B	0	0	0	0	0	0	0	0	0	0	56	0	385	7	10673	0	0	0	0	9	1	0	0	1	2323	0	14	0	0	0	0	0	617	382	0	23	0	0	0	0	223	0	0	14	160	4403	0	0	0	0	0	2	0	0	14	0	496	0	0	0	0	0	0	0	1	0	0	0	609	1	0	0	497	0	3	0	0	43	1	4	0	1	13	0	0	0	0	0	2	52	0	4	0	0	0	0	0	0	0	52	12036	0	57	0	0	0	0	1	0	0	5	0	0	0	0	1	4	23	6	0	0	17	233	0	0	0	0	0	19	0
DepExp-Str-M9-CC-1-A	0	0	3	0	1	0	0	0	0	0	20	1	666	3	3541	0	2	0	1	1	0	2	0	0	2994	0	1	1	0	2	0	0	42	2135	0	37	4	0	0	0	11	0	2	1	40	496	1	0	0	0	0	0	0	0	4	177	25	0	0	0	0	0	0	0	0	1	0	0	313	0	0	0	73	164	3	3604	32683	1	0	5	0	21	3	0	3	0	1253	1	0	2	1	0	1	2	0	2	0	0	3	77	9419	0	390	2364	0	0	1	0	1	0	1	0	0	0	0	6	2	25	12	1	0	0	3	0	0	0	0	0	0	5
DepExp-Str-M9-CC-1-B	0	2	0	0	0	2	1	0	0	0	25	3	755	2	3803	0	0	0	0	1	0	3	0	0	3092	0	2	0	0	1	0	0	54	2761	0	35	5	0	0	0	7	0	1	4	51	548	0	1	0	0	0	0	0	0	12	198	33	0	0	0	0	0	0	0	1	4	0	0	279	2	0	0	77	204	0	3913	37293	1	2	5	2	19	1	0	0	1	1388	1	0	1	1	2	0	2	0	0	0	0	0	72	10674	0	539	2448	0	0	1	0	0	0	1	2	0	0	0	7	1	23	12	0	0	0	3	1	0	0	0	0	0	4
DepExp-Str-M9-CC-2-A	0	1	1	0	2	3	0	0	0	0	16	0	775	1	3080	4	0	0	0	0	0	0	1	1	4203	1	3	1	0	0	0	0	31	1862	0	33	9	0	0	0	6	0	1	1	38	537	0	0	0	1	0	0	0	0	4	397	43	0	0	0	0	0	1	0	0	1	0	0	257	2	0	0	42	311	0	5275	43259	0	0	3	1	8	2	0	0	2	1199	1	0	2	1	1	1	1	0	1	0	1	1	77	8868	0	299	2715	0	0	2	0	0	0	0	0	0	0	0	3	1	30	7	0	1	0	1	1	0	0	0	0	0	4
DepExp-Str-M9-CC-2-B	0	0	3	0	1	1	0	0	0	0	22	7	803	2	3019	2	0	0	1	0	0	2	0	0	4636	1	1	0	0	0	0	0	31	2405	0	43	11	1	0	0	6	0	0	5	45	616	0	0	0	0	0	0	0	0	8	446	33	0	0	0	0	0	1	0	0	0	0	0	274	1	0	0	52	376	1	5516	48168	0	1	2	1	4	2	0	0	1	1302	1	0	1	0	2	0	2	0	0	2	0	4	82	9957	0	439	2679	0	0	2	0	0	0	2	0	0	0	0	5	1	18	16	0	0	0	4	0	0	0	2	0	0	2
DepExp-Str-M9-CC-3-A	0	1	1	0	0	2	0	0	0	0	20	1	1085	0	3140	1	0	0	0	0	0	1	0	0	3112	0	2	0	0	0	0	0	38	2168	0	22	26	0	0	0	8	0	4	4	50	499	0	0	0	0	0	0	0	0	4	335	22	0	0	0	0	0	1	0	0	4	0	0	352	1	0	1	68	274	1	4146	33012	0	2	4	0	4	2	0	0	0	1088	0	0	0	1	5	0	0	0	1	0	0	0	84	9711	0	375	2621	0	0	2	0	1	0	4	0	0	0	0	6	1	28	12	0	0	0	0	0	0	0	0	0	0	9
DepExp-Str-M9-CC-3-B	0	0	0	0	1	4	0	0	0	0	14	1	1163	0	3336	3	0	0	2	0	2	1	0	1	3400	0	3	0	0	2	0	0	54	2799	0	20	19	1	0	0	3	0	0	4	38	590	0	0	0	0	0	0	0	2	4	415	43	0	0	0	0	0	0	0	0	3	0	0	328	2	0	0	56	322	1	4348	37486	1	1	5	0	4	1	0	0	0	1246	0	0	0	0	0	1	0	0	1	0	0	2	80	10791	0	499	2538	0	0	1	0	0	0	2	0	0	0	0	6	4	26	15	0	0	0	0	0	0	0	0	0	0	6
DepExp-Str-TSB-CC-1-A	0	0	0	0	0	0	1	0	0	0	0	0	66	0	5218	0	0	0	0	5	0	0	0	0	1042	0	0	1	0	0	0	0	137	254	0	6	0	0	0	0	11	0	0	0	53	943	0	0	0	0	0	0	0	0	5	413	17	0	0	0	0	0	0	0	0	0	1	0	227	1	0	1	20	6064	2	5084	41637	0	1	1	0	2	0	0	0	1	671	1	0	0	0	2	0	0	0	0	0	0	0	13	105	0	48	5	0	0	0	0	0	0	3	0	0	0	0	3	4	7	13	0	0	0	4	0	0	0	0	0	0	0
