	Root100	Root101	Root107	Root112D2	Root1203	Root1212	Root1217	Root122	Root1220	Root123D2	Root1252	Root1277	Root1280	Root1304	Root131	Root1310	Root135	Root136	Root137	Root149	Root151	Root154	Root157	Root16D2	Root170	Root172	Root179	Root180	Root186	Root189	Root190	Root198D2	Root219	Root22	Root224	Root227	Root239	Root241	Root264	Root265	Root267	Root268	Root274	Root318D1	Root322	Root329	Root332	Root335	Root336D2	Root342	Root343	Root344	Root369	Root381	Root4	Root401	Root411	Root413D1	Root418	Root420	Root431	Root436	Root444D2	Root456	Root472D3	Root482	Root483D1	Root487D2Y	Root491	Root53	Root552	Root554	Root558	Root562	Root564	Root565	Root569	Root60	Root604	Root61	Root627	Root63	Root630	Root635	Root656	Root670	Root68	Root682	Root685	Root690	Root695	Root70	Root700	Root708	Root710	Root720	Root76	Root79	Root81	Root83	Root9	Root901	Root918	Root920	Root935	Soil522	Soil535	Soil538	Soil728	Soil729	Soil736	Soil745	Soil748	Soil750	Soil756	Soil761	Soil762	Soil763	Soil764	Soil766	Soil768D1	Soil772	Soil773	Soil782	Soil787	Soil797	Soil803	Soil805	Soil809	Soil810
DepExp-input-1-A	8	763	118	0	360	247	23	17	20	42	1097	138	19	72	15310	101	21	12	272	230	67	243	18	231	561	65	499	182	0	244	46	0	1303	1063	77	422	721	119	6	74	574	0	332	116	667	1108	154	1	0	16	0	210	6	93	725	725	486	22	0	0	0	8	94	38	67	2045	53	27	878	202	14	59	1337	2427	199	2638	4310	1316	653	240	131	193	386	7	75	149	3201	202	39	209	192	347	65	312	59	422	247	126	245	210	712	0	261	1668	0	4	120	51	91	44	93	52	101	14	137	281	231	537	407	89	47	351	175	98	3	38	36	126	1681	269
DepExp-input-1-B	3	866	126	0	295	212	18	24	9	40	1040	176	18	67	16014	87	26	13	354	225	82	250	10	203	614	54	582	227	0	325	57	0	1594	1400	87	471	724	125	8	56	800	0	308	136	698	1225	127	1	0	21	0	212	5	103	726	829	576	19	0	0	0	3	84	25	66	1831	47	19	769	217	17	72	1201	2731	190	2857	4922	1317	708	214	163	191	450	18	80	158	3713	208	50	220	213	398	59	304	61	430	329	127	265	246	792	0	359	1743	0	4	159	53	108	56	95	38	177	9	150	280	258	584	419	81	42	382	247	100	2	48	20	142	1720	310
DepExp-input-2-A	1	447	100	1	206	208	12	32	16	41	782	102	4	58	12295	56	8	3	209	220	60	191	12	196	554	51	323	145	0	194	31	4	1070	702	78	338	813	117	6	37	524	0	306	92	553	1046	120	18	0	24	0	148	4	111	486	1357	438	16	0	0	0	6	60	26	44	1494	91	11	771	147	11	89	1088	2641	195	2257	4107	934	708	143	142	132	263	11	44	110	3072	138	46	161	127	305	51	243	49	329	232	82	129	160	663	0	233	1145	0	3	84	30	81	44	79	52	76	11	95	212	178	414	302	55	40	294	158	66	1	51	5	93	1209	264
DepExp-input-2-B	3	614	92	0	213	229	9	22	10	34	797	104	8	66	12574	56	16	8	241	220	90	188	11	202	535	54	405	153	0	189	29	2	1150	906	58	342	795	98	6	35	610	0	283	125	499	1113	110	24	0	18	0	170	5	102	527	1467	531	11	0	0	0	7	86	31	46	1409	85	23	662	119	5	61	1046	3036	159	2312	4621	896	692	159	146	113	333	11	56	96	3539	117	55	182	111	289	42	230	42	347	290	82	179	155	718	0	262	1167	0	5	79	32	94	40	88	61	92	15	129	230	149	414	248	55	48	342	200	81	0	60	12	108	1274	294
DepExp-input-3-A	7	448	154	0	310	241	11	21	8	24	860	126	19	105	17248	76	11	19	233	248	68	81	6	195	730	52	152	185	0	167	29	3	1227	1163	55	368	1720	70	12	28	584	0	224	66	725	1036	112	3	0	5	0	174	6	76	576	1374	278	9	0	0	0	0	90	29	57	1491	70	6	1005	194	17	31	1511	2711	150	2284	4123	776	659	170	114	300	282	3	54	60	3107	179	41	252	187	244	48	221	88	495	324	156	337	63	562	0	253	1264	0	13	131	37	85	43	84	29	88	10	157	319	251	535	412	65	21	201	206	106	0	49	16	122	997	213
DepExp-input-3-B	3	613	137	0	274	228	12	34	2	28	796	108	23	103	17392	82	18	24	283	268	119	112	12	176	798	40	202	193	0	162	39	1	1297	1415	45	360	1713	87	11	22	696	0	198	106	701	1144	103	1	0	5	0	171	3	68	602	1595	330	8	0	0	0	2	92	29	45	1453	77	12	957	187	8	36	1313	2954	140	2333	4767	859	654	180	131	275	332	4	29	67	3309	176	32	269	162	302	48	190	86	504	344	186	323	63	616	0	327	1351	0	9	127	49	101	66	106	43	100	7	163	302	237	545	398	80	22	252	237	107	0	67	24	132	1105	251
DepExp-Str-M9-F-1-A	0	3	1	0	0	0	0	0	1	1	20	0	219	0	4125	0	0	0	0	1	0	0	0	0	1848	0	19	0	0	0	0	0	143	627	0	14	5	1	0	0	38	0	0	1	53	1085	0	0	0	0	0	1	0	0	2	463	30	0	0	0	0	0	1	0	0	6	0	0	625	1	0	0	134	5312	2	5323	49391	34	3	3	0	1	2	0	1	9	876	1	0	0	0	6	0	0	0	0	0	0	0	47	1640	0	119	1794	0	0	1	0	0	0	1	0	2	0	0	1	1	21	9	1	0	3	7	0	0	0	1	0	12	1
DepExp-Str-M9-F-1-B	0	3	0	0	0	0	0	0	0	0	7	0	268	0	4429	1	0	0	1	3	0	0	0	0	2004	1	13	0	0	0	0	0	172	837	1	18	6	0	0	0	32	0	1	2	62	1248	1	1	0	0	0	4	0	0	4	573	50	0	0	0	0	0	0	0	0	6	0	0	662	0	0	0	136	6050	4	5608	56660	37	1	3	0	0	0	0	0	3	1064	1	0	0	0	5	0	1	0	1	0	0	0	27	1868	0	141	1876	0	0	0	0	0	0	1	1	2	0	0	2	2	13	6	0	0	5	9	0	0	0	0	0	15	1
DepExp-Str-M9-F-2-A	0	7	1	0	0	4	0	0	0	0	14	0	433	0	3584	0	0	0	3	0	1	1	0	0	2307	0	27	1	0	0	0	0	182	1869	0	51	21	0	0	0	35	0	1	5	61	372	1	0	0	0	0	2	0	0	4	421	58	0	0	0	0	0	0	0	0	16	0	0	1527	1	0	0	329	393	2	6040	36186	42	1	4	0	7	2	0	1	2	836	2	0	0	0	5	0	1	0	0	1	1	0	30	2693	0	327	3089	0	0	1	0	0	0	1	0	4	0	1	9	0	45	10	0	0	11	4	1	0	0	0	2	14	3
DepExp-Str-M9-F-2-B	0	10	0	0	2	2	0	0	0	0	25	3	475	3	3952	2	0	0	1	2	0	2	0	2	2514	0	31	0	0	0	0	0	206	2603	0	47	16	0	0	0	57	0	0	6	64	421	0	0	0	0	0	2	0	0	6	524	55	1	0	0	0	0	0	0	1	21	1	0	1447	1	0	0	302	461	3	6923	42168	42	4	6	1	1	3	0	0	2	949	0	1	0	0	10	0	0	0	0	1	1	1	42	3226	0	457	3220	0	0	1	0	0	0	1	1	3	0	2	4	4	53	17	0	0	8	9	0	0	0	0	1	18	0
DepExp-Str-M9-F-3-A	0	7	0	0	1	3	0	0	0	1	25	0	473	1	2498	0	1	0	3	3	0	0	0	0	2893	1	43	0	0	1	0	0	214	1404	0	49	10	0	0	0	59	0	3	5	43	468	0	0	0	0	0	1	0	0	2	548	55	0	0	0	0	0	1	0	0	27	0	0	2063	1	0	0	387	354	2	7750	34073	40	2	1	4	9	1	0	0	2	1018	0	0	1	1	14	0	1	0	0	0	0	0	51	2234	0	211	3283	0	0	3	0	1	0	0	0	2	0	1	4	1	35	10	0	0	10	6	0	0	0	0	0	22	4
DepExp-Str-M9-F-3-B	0	10	0	0	3	3	0	0	0	0	30	1	490	1	2581	1	0	0	0	1	0	3	0	0	3153	0	39	1	0	0	0	0	281	1854	0	45	4	0	0	0	83	0	0	4	63	448	0	0	0	0	0	2	0	0	3	538	76	0	0	0	0	0	1	0	0	26	0	0	1830	2	0	1	323	434	3	7914	38100	41	2	7	3	2	5	0	0	3	1224	2	0	1	1	5	0	1	0	0	0	0	1	57	2460	0	270	3242	0	0	0	0	2	0	1	2	10	0	1	3	0	45	14	0	0	16	19	0	0	0	0	0	33	5
DepExp-Str-TSB-F-1-A	0	1	0	0	0	0	0	0	0	0	4	0	108	0	3390	0	0	0	0	2	0	0	0	0	1440	0	3	0	0	0	0	0	108	515	0	5	4	0	0	0	22	0	0	1	57	1002	0	0	0	0	0	1	0	0	1	524	19	0	0	0	0	0	0	0	0	0	0	0	403	2	0	0	54	6797	1	4834	46626	20	1	1	0	0	0	0	0	3	906	1	0	0	0	9	0	0	0	0	1	0	1	16	451	0	105	572	0	0	0	0	0	0	1	0	0	1	0	4	1	9	9	0	0	0	3	0	0	0	1	0	6	1
DepExp-Str-TSB-F-1-B	0	1	0	0	1	0	0	0	0	0	2	0	92	0	3910	0	0	0	0	5	0	1	0	2	1599	1	5	0	0	0	1	0	140	632	0	8	0	1	0	0	28	0	0	1	61	1103	0	1	0	0	0	2	0	0	4	581	31	0	0	0	0	0	0	0	0	5	1	0	374	2	0	0	57	7503	4	5087	52863	31	1	1	0	0	0	0	0	0	992	0	0	1	0	5	0	3	0	0	0	0	0	20	537	0	130	516	0	0	2	1	0	1	1	0	1	0	0	9	2	22	8	0	0	1	4	0	0	0	0	0	6	1
DepExp-Str-TSB-F-2-A	0	0	0	0	1	0	0	0	0	0	2	0	66	0	3519	0	0	0	0	5	0	0	0	0	1042	0	0	1	0	0	0	0	85	192	0	8	0	0	0	0	5	0	0	0	42	1228	0	0	0	0	0	0	0	2	0	920	18	0	0	0	0	0	0	0	0	1	0	0	311	0	0	0	67	6664	4	3934	47239	23	0	0	0	0	0	0	0	3	912	0	0	0	0	0	0	1	0	0	0	0	4	19	153	0	34	1	0	0	0	0	0	0	2	0	0	0	0	4	0	9	9	0	0	1	2	0	0	0	0	0	7	0
DepExp-Str-TSB-F-2-B	0	0	0	0	0	0	0	0	0	0	0	1	60	0	3786	0	0	0	0	4	0	1	0	0	1124	0	1	1	0	0	0	0	100	313	0	4	1	0	0	0	15	0	0	0	40	1460	0	0	0	0	0	0	0	0	2	1015	21	0	0	0	0	0	0	0	0	0	0	0	275	0	0	0	36	7615	2	4070	54267	24	0	0	0	0	0	0	0	3	1061	0	0	1	0	4	1	1	0	0	0	0	2	19	130	0	68	4	0	0	0	0	0	0	1	0	0	0	0	0	0	11	4	0	0	1	4	0	0	0	0	0	7	0
DepExp-Str-TSB-F-3-A	0	0	0	0	0	0	0	0	0	1	0	0	157	0	3955	0	0	0	0	9	0	0	0	0	1167	0	2	0	0	1	0	0	92	237	0	4	1	0	0	0	12	0	0	1	40	1315	1	0	0	0	0	1	0	0	4	1013	21	0	0	0	0	0	0	0	0	0	1	1	410	0	0	0	88	7023	6	4496	48338	25	1	1	0	2	0	0	0	0	654	0	0	1	1	0	0	0	0	0	1	0	1	9	108	0	50	4	0	0	1	0	0	0	0	0	0	0	0	3	0	7	5	0	0	0	2	0	0	0	0	0	2	0
DepExp-Str-TSB-F-3-B	0	0	0	0	0	0	0	0	0	0	0	0	153	0	4200	0	0	0	0	0	0	0	0	0	1245	0	0	0	0	1	0	0	101	273	0	7	1	0	0	0	17	0	0	0	44	1628	0	0	0	0	0	2	0	0	2	1166	24	0	0	0	0	0	0	0	0	0	0	0	343	0	0	0	62	7789	4	4992	55914	32	0	0	0	0	1	0	0	0	788	0	0	4	0	3	1	1	0	0	1	0	1	9	120	0	49	2	0	0	2	0	0	0	2	1	0	0	0	8	2	9	8	0	0	0	1	0	0	0	0	0	4	0
DepExp-Unstr-M9-F-1-A	0	8	1	0	1	2	0	1	0	1	191	1	652	7	5181	1	0	0	1	5	0	4	0	0	1734	3	65	3	0	0	1	0	84	793	1	241	124	0	0	0	15	0	5	12	284	251	4	0	0	0	0	5	0	1	21	846	300	0	0	0	0	0	1	0	1	61	0	0	2432	5	0	3	946	1453	7	10001	27050	192	3	14	0	13	2	0	2	8	411	1	0	0	1	12	0	1	0	4	0	1	9	42	371	0	165	10197	0	0	0	0	1	2	4	1	8	0	7	48	5	135	98	0	0	17	24	0	0	0	0	1	34	7
DepExp-Unstr-M9-F-1-B	0	12	2	0	3	2	0	0	0	1	175	0	777	13	5810	1	0	0	2	5	1	2	0	0	1905	6	86	1	0	0	0	0	114	1088	1	265	131	0	0	0	18	0	3	17	318	318	1	1	0	0	0	6	0	0	13	1005	350	0	0	0	0	0	0	0	0	56	3	0	2280	3	0	2	908	1729	6	10961	32596	189	4	7	0	10	3	0	0	1	419	1	0	2	1	7	0	2	0	2	1	0	13	65	436	0	227	10919	0	0	0	0	1	2	7	3	10	0	5	36	4	170	71	0	1	13	31	0	0	0	1	4	39	11
DepExp-Unstr-M9-F-2-A	0	17	4	0	3	6	0	0	0	1	281	2	403	4	3817	2	0	0	3	9	0	1	0	1	2729	5	87	0	0	0	0	0	56	532	0	191	73	0	0	0	10	0	4	7	247	224	0	0	0	0	0	2	0	0	5	1120	251	0	0	0	0	0	0	0	0	55	4	0	1792	1	0	0	988	1102	6	10764	17428	94	2	7	1	6	0	0	0	6	393	0	0	4	0	4	1	0	0	2	0	0	1	49	483	0	85	6894	0	0	3	0	0	1	2	2	9	0	1	59	3	168	96	0	0	28	19	2	0	0	0	1	32	9
DepExp-Unstr-M9-F-2-B	0	18	2	0	0	2	0	0	0	0	291	1	430	2	3994	2	0	1	3	4	0	5	0	1	2689	11	103	1	0	0	0	0	68	670	0	219	74	0	1	0	15	0	2	13	278	246	1	0	0	0	0	2	0	1	9	1260	318	0	0	0	0	0	0	0	0	45	1	0	1741	1	0	0	1013	1263	5	11367	20043	91	0	13	2	4	7	0	0	3	469	2	0	1	1	6	0	1	0	1	2	0	8	60	533	0	145	6899	0	0	2	0	0	0	5	0	5	0	4	47	5	143	111	0	1	32	23	0	0	0	0	0	29	11
DepExp-Unstr-M9-F-3-A	0	22	2	0	2	6	0	0	0	0	259	1	471	6	4144	0	0	0	4	11	0	1	0	0	1923	9	102	0	0	0	0	0	66	719	0	238	82	0	0	0	5	0	4	12	312	300	2	1	0	1	0	5	0	0	16	1573	331	0	0	0	0	0	2	0	1	78	3	0	1693	5	0	0	875	1537	3	10584	24072	110	1	19	1	9	3	0	1	5	631	0	0	4	0	4	1	0	0	1	2	2	10	46	662	0	170	6838	0	0	2	0	1	3	4	0	15	0	0	67	3	164	111	0	0	29	43	0	0	0	0	2	44	10
DepExp-Unstr-M9-F-3-B	0	15	2	0	4	3	0	0	0	0	261	2	582	7	4579	1	0	0	5	3	0	5	0	0	2100	4	153	0	0	0	0	0	69	1097	1	217	67	0	0	0	15	0	4	7	302	431	2	1	0	0	0	4	0	0	13	1951	375	1	0	0	0	0	0	0	0	77	0	0	1702	3	0	0	880	1897	3	11727	28524	124	1	14	2	12	1	0	0	3	744	0	0	0	1	4	0	1	0	2	0	1	17	50	774	0	174	7377	0	0	0	1	3	2	1	0	9	0	7	58	4	174	112	0	0	42	37	1	0	0	0	1	46	16
DepExp-Unstr-TSB-F-1-A	0	1	0	0	1	0	1	0	0	0	18	1	192	1	25309	1	0	0	0	7	0	2	0	4	560	0	17	0	0	1	0	0	101	358	0	15	40	0	0	3	69	0	3	5	82	2485	0	0	0	0	0	2	0	1	11	955	58	0	0	0	0	0	2	0	0	8	0	0	566	1	0	0	534	5626	7	4094	15556	42	6	2	1	67	17	0	0	0	9088	0	2	11	0	0	0	0	0	0	3	0	1	17	622	0	58	62	0	0	0	0	0	0	1	0	1	0	0	2	1	34	11	0	0	8	67	0	0	0	0	0	9	0
DepExp-Unstr-TSB-F-1-B	0	0	1	0	0	0	0	1	0	0	11	1	211	3	25785	0	0	0	0	18	0	1	0	2	552	1	19	0	0	0	0	0	140	457	0	34	45	0	0	0	110	0	0	8	94	2744	0	1	0	0	0	2	0	0	13	1110	63	0	0	0	0	0	0	0	0	5	0	0	486	1	0	0	499	6231	5	4109	17501	21	3	1	0	44	19	0	0	0	10217	1	2	19	0	4	0	0	0	0	3	1	2	18	759	0	59	66	0	0	0	0	0	0	3	2	0	0	0	5	4	32	7	0	0	10	76	0	0	0	0	0	9	0
DepExp-Unstr-TSB-F-2-A	0	0	1	0	0	0	0	0	0	0	15	1	164	7	20657	0	0	0	0	5	0	0	0	0	554	0	8	0	0	0	0	0	80	344	0	24	30	0	0	0	81	0	0	1	84	1643	1	0	0	0	0	0	0	0	12	1297	45	0	0	0	0	0	0	0	0	0	0	0	474	0	0	0	421	4871	6	3236	12007	26	2	0	0	34	12	0	0	1	6355	0	1	17	0	0	0	0	0	0	2	0	2	23	567	0	52	23	0	0	0	0	0	0	1	0	2	0	0	4	2	24	5	0	0	5	59	0	0	0	0	0	15	1
DepExp-Unstr-TSB-F-2-B	0	0	0	0	1	1	0	0	0	0	23	0	209	4	21886	0	0	0	0	8	0	0	0	2	559	1	13	0	0	1	0	0	99	468	0	30	30	0	0	0	100	0	0	3	113	1945	1	0	0	0	0	0	0	0	16	1489	71	0	0	0	0	0	0	0	1	3	0	1	417	0	0	0	426	5532	6	3446	14148	25	1	3	0	26	21	0	0	2	7179	0	0	9	0	5	0	0	1	0	1	0	2	17	693	0	57	17	0	0	0	0	0	0	1	0	0	0	0	3	1	29	15	0	0	9	71	0	0	0	0	0	16	0
DepExp-Unstr-TSB-F-3-A	0	0	0	0	1	0	0	0	0	0	9	0	135	1	19667	0	0	0	1	6	2	0	0	0	398	0	10	0	0	1	0	0	66	420	0	22	20	0	0	0	39	0	2	1	114	1777	1	0	0	0	0	2	0	0	6	1241	26	0	0	0	0	0	0	0	0	0	0	0	522	1	0	0	526	4172	5	2873	11129	30	2	0	1	28	4	0	0	0	6117	0	1	3	1	2	0	0	0	0	1	0	0	15	464	0	65	29	0	0	0	0	0	0	0	0	0	0	1	1	0	22	9	0	0	3	51	0	0	0	0	0	9	0
DepExp-Unstr-TSB-F-3-B	0	0	0	0	0	0	0	0	0	0	9	1	117	6	20328	0	0	0	1	8	0	1	0	1	434	1	8	0	0	1	0	0	65	486	0	20	16	0	0	0	56	0	0	3	114	2062	0	1	0	0	0	0	0	0	11	1409	35	0	0	0	0	0	0	0	0	3	0	0	518	1	0	0	391	4816	10	2972	12850	33	6	0	0	21	4	0	0	2	7070	1	1	4	0	2	0	0	0	1	0	0	0	17	515	0	62	22	0	0	0	0	0	1	2	2	0	0	0	4	2	11	5	0	0	5	54	0	0	0	0	0	9	0
DepExp-Str-M9-CS-1-A	0	22	0	0	2	3	0	0	0	0	26	6	775	2	6120	0	0	0	0	0	1	0	0	0	1665	0	48	0	0	0	0	0	46	2192	0	40	19	0	0	0	12	0	1	4	45	301	0	0	0	0	0	2	1	0	3	0	49	0	0	0	0	0	0	0	1	33	0	0	257	2	0	0	63	0	0	0	0	80	4	6	1	0	6	0	1	2	0	1	0	1	2	1	1	2	0	0	0	1	0	59	57669	0	422	0	0	0	0	0	0	1	2	2	6	0	2	6	0	23	7	0	0	12	2	0	0	0	0	2	34	4
DepExp-Str-M9-CS-1-B	0	20	0	0	1	2	0	0	0	0	24	2	839	3	6664	0	0	0	0	1	0	0	1	0	1803	0	68	1	0	0	1	0	43	2979	2	47	19	0	0	2	7	0	2	5	56	342	2	1	0	0	0	8	0	0	3	0	52	0	0	0	0	0	0	0	1	33	1	0	226	0	0	0	48	0	2	0	0	75	2	8	3	1	2	0	0	0	0	0	1	1	1	0	0	0	0	0	0	2	3	36	66466	0	508	0	0	0	1	0	0	0	2	0	15	0	1	5	0	25	11	0	1	17	6	0	0	0	0	1	43	7
DepExp-Str-M9-CS-2-A	0	36	0	0	2	4	0	0	0	0	50	1	697	1	7642	1	0	3	1	2	0	0	0	1	2157	0	41	0	0	1	0	0	59	2403	1	57	23	0	0	1	14	0	3	4	99	265	2	0	0	0	0	5	0	0	5	0	51	0	0	0	0	0	0	1	0	73	1	0	607	4	0	2	125	0	2	0	0	89	1	12	2	1	3	0	1	7	0	0	0	1	3	4	0	1	0	1	0	0	0	85	57896	0	450	0	0	0	1	0	2	0	4	0	6	1	0	13	5	26	18	0	1	13	3	0	0	0	0	2	84	3
DepExp-Str-M9-CS-2-B	0	31	2	0	3	4	0	0	0	0	57	0	780	2	7849	1	0	0	2	3	0	0	0	0	2347	1	58	2	0	0	0	0	80	3238	1	50	18	1	0	1	19	0	3	8	120	342	0	2	0	0	0	7	0	0	7	0	66	0	0	0	0	0	1	0	0	44	2	0	555	1	0	1	115	0	2	0	0	94	0	4	0	0	0	0	0	1	0	0	0	1	0	3	0	1	1	2	0	1	2	77	64903	0	538	0	0	0	1	0	1	0	1	0	9	0	4	11	5	18	16	0	1	17	4	1	0	0	0	1	84	11
DepExp-Str-M9-CS-3-A	0	22	2	0	2	2	0	0	0	0	49	1	711	5	7483	2	0	0	2	2	0	0	1	0	2272	0	46	2	0	0	0	0	74	2702	0	55	21	0	0	2	9	0	5	7	99	402	1	0	0	0	0	3	0	1	7	0	55	0	0	0	0	0	0	0	0	59	0	0	585	1	0	1	112	0	2	0	0	97	0	7	2	1	1	0	1	1	0	0	1	0	3	2	0	3	0	1	4	0	2	75	67435	0	501	0	0	0	2	0	0	3	5	1	12	0	6	9	2	31	22	1	0	13	1	1	0	0	0	1	89	7
DepExp-Str-M9-CS-3-B	0	29	0	0	2	3	0	0	0	0	62	0	708	0	7834	1	0	0	4	2	2	0	0	1	2386	1	73	3	0	1	0	0	80	3632	2	51	13	1	0	0	14	0	3	8	90	418	3	1	0	1	0	4	0	0	6	0	63	0	0	0	0	0	1	0	0	55	0	1	567	2	1	4	119	0	3	0	0	85	3	7	2	1	0	0	0	2	0	0	0	2	0	5	0	3	0	1	0	1	5	81	75161	0	685	0	0	0	0	0	2	4	3	0	12	0	5	7	1	34	22	0	0	11	1	1	0	0	0	0	95	4
DepExp-Str-TSB-CS-1-A	0	0	1	0	0	1	0	0	0	0	0	1	599	0	6497	0	0	0	0	8	0	0	0	0	8038	0	0	3	0	0	0	0	1833	119	0	5	0	0	0	0	30	0	0	10	678	54	0	0	0	0	0	3	0	0	8	0	1188	0	0	0	0	0	0	0	0	0	0	0	194	6	0	0	75	0	5	0	0	53	3	5	0	0	0	0	0	2	0	1	0	0	1	26	0	0	0	0	0	0	1	44	79964	0	35	0	0	0	1	0	1	0	2	0	0	0	0	9	1	21	16	0	0	1	59	0	0	0	0	0	16	0
DepExp-Str-TSB-CS-1-B	0	0	0	0	0	1	0	0	0	0	1	0	638	2	6423	0	0	0	0	7	0	0	0	2	8404	0	1	3	0	2	0	0	2247	152	0	10	0	0	0	0	34	0	0	2	682	55	0	0	0	0	0	0	0	0	6	0	1337	0	0	0	0	0	0	0	0	0	1	0	182	1	0	0	67	0	3	0	0	48	3	0	0	0	2	0	0	0	0	2	0	2	1	59	0	0	0	0	0	0	0	48	90793	0	30	0	0	0	0	0	0	0	1	0	0	0	0	7	3	20	12	0	0	0	73	0	0	0	0	0	18	0
DepExp-Str-TSB-CS-2-A	0	0	0	0	0	1	0	0	0	0	0	0	758	0	4552	0	0	0	0	3	0	0	0	1	6386	0	0	0	0	1	0	0	715	73	0	12	0	0	0	0	11	0	0	1	253	48	0	0	0	0	0	1	0	0	5	0	812	0	0	0	0	0	0	0	0	0	0	0	110	1	0	0	31	0	3	0	0	59	1	1	0	0	1	0	0	0	0	0	0	1	0	18	0	0	0	0	2	0	0	27	54631	0	23	0	0	0	0	0	0	0	2	0	0	0	0	7	3	16	14	0	0	0	35	0	0	0	0	0	6	0
DepExp-Str-TSB-CS-2-B	0	0	0	0	0	0	0	0	0	0	0	1	836	0	4699	0	0	0	0	2	0	0	0	0	6802	0	1	0	0	1	0	0	880	123	0	14	0	0	0	0	16	0	0	3	267	49	0	0	0	0	0	3	0	0	5	0	962	0	0	0	0	0	0	1	0	0	1	0	144	2	0	0	32	0	2	0	0	53	0	2	2	0	0	0	0	0	0	1	0	0	0	20	0	0	0	0	0	0	0	39	61433	0	26	0	0	0	0	0	0	0	0	0	0	0	0	7	4	20	15	0	0	1	57	0	0	0	0	0	15	0
DepExp-Str-TSB-CS-3-A	0	0	1	0	0	0	1	0	0	0	1	0	529	0	6748	0	0	0	0	6	0	0	1	0	7782	0	0	0	0	1	0	0	1193	86	0	10	0	0	0	0	29	0	0	3	586	42	0	0	0	1	0	2	0	0	4	0	927	0	0	0	0	0	0	0	1	0	0	0	190	0	0	0	50	0	2	0	0	50	1	4	0	0	0	0	0	1	0	0	0	2	0	19	0	0	0	0	0	0	2	46	70793	0	28	0	0	0	1	0	0	0	2	0	0	0	0	6	3	18	16	0	0	0	52	1	0	0	0	0	10	0
